review_id,product_id,user_id,rating,comment
1,490,791,5,Excellent product! Highly recommended.
2,495,454,5,Excellent product! Highly recommended.
3,168,225,3,"Works fine, but material feels a bit cheap."
4,341,277,4,"Satisfied with the purchase, is as described."
5,233,81,5,Excellent product! Highly recommended.
6,134,369,1,Total waste of money.
7,280,313,5,"Perfect, exactly as described."
8,118,246,3,"Not bad, but not great either. Just average."
9,489,369,5,"Awesome, will buy again."
10,380,780,4,"Very good, minor scratches on the outer box but item is intact."
11,204,226,5,Very fast shipping and great quality.
12,262,118,3,"It does the job, but I expected more features."
13,199,441,4,"Pretty decent, does what it is supposed to."
14,28,309,4,"Nice product, works well."
15,44,543,5,"Exceeded my expectations, works flawlessly."
16,442,893,5,"Great value for money, absolutely love it!"
17,64,282,5,Excellent product! Highly recommended.
18,28,47,3,"Fair quality, could be improved."
19,467,839,4,"Value for money, good product."
20,227,251,2,"Poor quality, would not recommend."
21,106,220,5,The quality is amazing for the price.
22,410,968,5,Super fast delivery and superb product.
23,239,211,5,"Exceeded my expectations, works flawlessly."
24,395,416,5,"Perfect, exactly as described."
25,478,775,4,"Satisfied with the purchase, is as described."
26,303,568,4,"Satisfied with the purchase, is as described."
27,227,653,3,"It does the job, but I expected more features."
28,106,643,4,"Item arrived on time, works fine."
29,485,809,5,"Perfect, exactly as described."
30,412,358,5,"Perfect, exactly as described."
31,59,469,5,Very satisfied with this purchase.
32,252,953,4,"Item arrived on time, works fine."
33,12,820,5,"Awesome, will buy again."
34,123,150,4,"Very good, minor scratches on the outer box but item is intact."
35,452,728,4,"Value for money, good product."
36,21,332,5,"Exceeded my expectations, works flawlessly."
37,467,291,4,"Value for money, good product."
38,319,926,4,"Nice product, works well."
39,339,375,4,"Satisfied with the purchase, is as described."
40,280,907,5,Very fast shipping and great quality.
41,106,472,5,The quality is amazing for the price.
42,39,343,5,Super fast delivery and superb product.
43,97,298,5,Top notch quality and excellent customer service.
44,193,713,4,"Value for money, good product."
45,27,93,5,"Exceeded my expectations, works flawlessly."
46,196,318,5,Very satisfied with this purchase.
47,83,711,4,"Value for money, good product."
48,165,254,4,"Nice product, works well."
49,473,901,5,"Great value for money, absolutely love it!"
50,499,43,5,"Great value for money, absolutely love it!"
51,444,218,4,"Nice product, works well."
52,195,874,5,Excellent product! Highly recommended.
53,94,181,5,Excellent product! Highly recommended.
54,288,554,3,"Just normal, nothing special."
55,379,634,4,"Satisfied with the purchase, is as described."
56,374,121,5,Very satisfied with this purchase.
57,489,725,4,"Good quality, minor issues with packaging."
58,477,757,1,"Absolute garbage, doesn't work at all."
59,184,173,4,"Quite happy with it, though shipping took a bit longer."
60,418,257,4,"Very good, minor scratches on the outer box but item is intact."
61,330,653,3,Decent but could be better.
62,430,300,1,Item was missing parts and broken.
63,231,794,5,Very satisfied with this purchase.
64,488,223,2,"Poor quality, would not recommend."
65,149,997,5,"Awesome, will buy again."
66,409,283,4,"Quite happy with it, though shipping took a bit longer."
67,323,745,5,The quality is amazing for the price.
68,10,152,5,"Great value for money, absolutely love it!"
69,159,5,5,Excellent product! Highly recommended.
70,442,978,5,Very fast shipping and great quality.
71,181,560,5,Top notch quality and excellent customer service.
72,408,548,1,"Absolute garbage, doesn't work at all."
73,80,501,4,"Well made product, very useful."
74,82,235,2,Product feels very cheap and flimsy.
75,194,972,5,Top notch quality and excellent customer service.
76,133,190,4,"Good quality, minor issues with packaging."
77,47,738,5,Excellent product! Highly recommended.
78,254,677,2,"Disappointed with the quality, very flimsy."
79,72,265,5,The quality is amazing for the price.
80,30,871,4,"Satisfied with the purchase, is as described."
81,496,861,5,Very satisfied with this purchase.
82,286,302,4,"Value for money, good product."
83,321,104,3,"It is okay, shipping took too long."
84,285,577,3,"Fair quality, could be improved."
85,455,298,4,"Quite happy with it, though shipping took a bit longer."
86,31,198,5,Super fast delivery and superb product.
87,297,461,4,"Quite happy with it, though shipping took a bit longer."
88,466,104,1,Terrible! Do not buy.
89,462,130,3,Decent but could be better.
90,494,447,5,"Awesome, will buy again."
91,293,770,4,"Overall good, would recommend."
92,280,643,5,"Awesome, will buy again."
93,33,916,4,"Satisfied with the purchase, is as described."
94,191,281,5,"Perfect, exactly as described."
95,270,779,4,"Quite happy with it, though shipping took a bit longer."
96,323,729,3,"Satisfactory, but wouldn't buy it again."
97,227,38,5,"Great value for money, absolutely love it!"
98,158,186,1,"Very unhappy, zero stars if I could."
99,172,646,4,"Very good, minor scratches on the outer box but item is intact."
100,334,863,5,Very fast shipping and great quality.
101,429,876,5,"Exceeded my expectations, works flawlessly."
102,449,707,5,Excellent product! Highly recommended.
103,225,366,5,"Exceeded my expectations, works flawlessly."
104,179,30,4,"Quite happy with it, though shipping took a bit longer."
105,450,755,5,"Exceeded my expectations, works flawlessly."
106,237,639,4,"Overall good, would recommend."
107,153,828,5,"Perfect, exactly as described."
108,230,386,5,Top notch quality and excellent customer service.
109,426,309,5,"Great value for money, absolutely love it!"
110,323,565,5,Very satisfied with this purchase.
111,267,891,5,Super fast delivery and superb product.
112,376,814,4,"Good quality, minor issues with packaging."
113,185,384,5,"Perfect, exactly as described."
114,14,701,4,"Quite happy with it, though shipping took a bit longer."
115,259,70,5,"Awesome, will buy again."
116,33,396,5,"Exceeded my expectations, works flawlessly."
117,136,732,5,Top notch quality and excellent customer service.
118,327,464,1,"Extremely poor quality, broke immediately."
119,366,352,3,"It is okay, shipping took too long."
120,378,249,4,"Nice product, works well."
121,215,586,5,"Great value for money, absolutely love it!"
122,344,161,4,"Quite happy with it, though shipping took a bit longer."
123,68,967,1,"Very unhappy, zero stars if I could."
124,153,230,5,Super fast delivery and superb product.
125,57,971,5,"Exceeded my expectations, works flawlessly."
126,294,1000,3,"Not bad, but not great either. Just average."
127,129,230,5,"Perfect, exactly as described."
128,269,521,3,"Fair quality, could be improved."
129,336,364,3,"It does the job, but I expected more features."
130,274,958,1,SCAM! DO NOT BUY!
131,335,565,5,Excellent product! Highly recommended.
132,219,59,5,The quality is amazing for the price.
133,498,380,5,"Exceeded my expectations, works flawlessly."
134,379,332,5,Top notch quality and excellent customer service.
135,277,942,4,"Value for money, good product."
136,99,668,4,"Well made product, very useful."
137,150,350,5,Top notch quality and excellent customer service.
138,395,740,4,"Satisfied with the purchase, is as described."
139,116,231,1,"Received damaged product, very upset."
140,144,217,4,"Good quality, minor issues with packaging."
141,200,361,5,"Awesome, will buy again."
142,344,906,3,"Not bad, but not great either. Just average."
143,447,95,5,Excellent product! Highly recommended.
144,172,62,5,"Perfect, exactly as described."
145,243,953,5,"Perfect, exactly as described."
146,339,364,5,Excellent product! Highly recommended.
147,292,192,5,"Perfect, exactly as described."
148,447,583,5,Very satisfied with this purchase.
149,321,410,4,"Very good, minor scratches on the outer box but item is intact."
150,368,476,5,The quality is amazing for the price.
151,98,71,5,"Awesome, will buy again."
152,335,9,5,"Perfect, exactly as described."
153,250,665,5,Excellent product! Highly recommended.
154,15,431,3,"It is okay, shipping took too long."
155,135,369,5,The quality is amazing for the price.
156,93,918,5,Super fast delivery and superb product.
157,262,390,4,"Quite happy with it, though shipping took a bit longer."
158,387,143,5,The quality is amazing for the price.
159,475,189,5,"Awesome, will buy again."
160,135,406,5,"Exceeded my expectations, works flawlessly."
161,85,57,5,Very satisfied with this purchase.
